policy_name,budget,n_seeds,mean_error,median_error,error_p25,error_p75,policy_wins_vs_uniform,win_rate_vs_uniform,mean_relative_error_vs_uniform,median_relative_error_vs_uniform,relative_error_p25_vs_uniform,relative_error_p75_vs_uniform,policy_label,policy_order
stochastic_exploration_bonus_c1.0,90,30,3.558756297298346e-05,2.7147065944952826e-05,1.8933536721741083e-05,5.123544184887672e-05,11.0,0.36666666666666664,2.0652933109449263,1.5771086270966488,0.7948471112106344,2.6252969842419063,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,135,30,2.463151252623295e-05,1.772878428419582e-05,1.0542601493416291e-05,2.7009540724515756e-05,10.0,0.3333333333333333,2.1941996749940227,1.4382409940209915,0.8906577023525163,2.395882419395929,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,180,30,1.9989679859334043e-05,1.2303143397928173e-05,7.3536132651083435e-06,2.5039558342123968e-05,10.0,0.3333333333333333,1.5815847390406692,1.2327660481733518,0.9653744859583531,1.8702108377538833,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,225,30,1.5380354545236054e-05,8.454626673840756e-06,4.921939822213166e-06,1.830750322266296e-05,16.0,0.5333333333333333,1.153582822100381,0.9543225051896593,0.6629881467027843,1.407239286132895,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,270,30,1.0230696946223669e-05,8.089775334917207e-06,4.1649262204105e-06,1.3551096554881855e-05,11.0,0.36666666666666664,1.3209572704776376,1.1390484446528013,0.8389223969391597,1.5379914672114219,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,315,30,1.0815742119072233e-05,7.648329235503976e-06,4.663080176184432e-06,1.4809896739937772e-05,10.0,0.3333333333333333,1.4141385128892567,1.230861436056399,0.8402263101891637,1.7749878394158463,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,360,30,1.034959359721057e-05,7.083719090358061e-06,3.5668669206387297e-06,1.0456574443910577e-05,15.0,0.5,1.1775209220499825,1.1236251411619431,0.47077381459884543,1.4942190096835595,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,405,30,8.397784912860207e-06,5.8630951863436564e-06,4.382419821699144e-06,1.0725859469638417e-05,17.0,0.5666666666666667,1.2050246182762305,0.9550633847524219,0.8262269682916592,1.5878206692499266,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,450,30,8.46838064084477e-06,7.43826562478928e-06,3.7760736234599523e-06,1.1676479648829665e-05,13.0,0.43333333333333335,1.4612688282708508,1.1471056813496165,0.6186064461912498,1.8099754375639119,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,495,30,7.043387876330409e-06,6.35056673268145e-06,3.4163986901084195e-06,9.865704801357916e-06,14.0,0.4666666666666667,1.4107802374894196,1.049496095249803,0.7921629943150342,1.5728017205835048,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,540,30,6.656598434550194e-06,5.5374333893419154e-06,2.8601868083008663e-06,8.088888521300573e-06,12.0,0.4,1.7045177125000142,1.1331053572828005,0.7515329697690716,1.8743336371552939,Stoch bonus c=1.0,2
