policy_name,budget,n_seeds,policy_wins,policy_win_fraction,mean_policy_minus_baseline_distance,median_policy_minus_baseline_distance,mean_relative_difference_policy_minus_baseline
stochastic_exploration_bonus_c1.0,450,30,13,0.43333333333333335,7.627061952295867e-07,7.449954724295589e-07,0.4612688282708508
stochastic_exploration_bonus_c1.0,495,30,14,0.4666666666666667,2.9384716865524944e-07,2.7209848546171323e-07,0.41078023748941955
stochastic_exploration_bonus_c1.0,540,30,12,0.4,7.027594285415273e-07,7.204793096182018e-07,0.7045177125000144
stochastic_exploration_bonus_c1.0,585,30,12,0.4,6.99699101539585e-07,3.5790598396391756e-07,0.31610993852910546
stochastic_exploration_bonus_c1.0,630,30,14,0.4666666666666667,-1.3409128085748916e-07,4.3366302957705455e-07,0.11785968648786938
stochastic_exploration_bonus_c1.0,675,30,15,0.5,-8.279992362430926e-08,-5.73933889817957e-08,0.19093099213638712
stochastic_exploration_bonus_c1.0,720,30,16,0.5333333333333333,-3.4582652041147987e-07,-4.29446472783401e-07,0.11381310729318264
stochastic_exploration_bonus_c1.0,765,30,13,0.43333333333333335,-4.933318849499639e-08,4.426515822156781e-07,0.7219025877619755
stochastic_exploration_bonus_c1.0,810,30,11,0.36666666666666664,1.4852331542315817e-06,1.2605570492843534e-06,0.5120977664618592
stochastic_exploration_bonus_c1.0,855,30,14,0.4666666666666667,-1.412254421100368e-07,9.03048198224779e-08,0.21847537082828375
stochastic_exploration_bonus_c1.0,900,30,21,0.7,-1.3797861217448694e-06,-8.720699404556771e-07,-0.10593840957656313
stochastic_exploration_bonus_c1.0,945,30,16,0.5333333333333333,1.7748925355175101e-07,-3.050845939415154e-07,0.20239661733848008
stochastic_exploration_bonus_c1.0,990,30,12,0.4,1.6765885801427554e-07,2.356674727462755e-07,0.209542164806733
stochastic_exploration_bonus_c1.0,1035,30,20,0.6666666666666666,-1.0423397827508389e-06,-6.39713066955918e-07,0.02386955195948094
stochastic_exploration_bonus_c1.0,1080,30,11,0.36666666666666664,6.316147868441551e-07,3.6059304524180743e-07,0.9085804959621894
stochastic_exploration_bonus_c1.0,1125,30,17,0.5666666666666667,-6.669313358372334e-08,-4.056270706603576e-07,0.16974060188135012
